city,country,id,lat,lon,current_temp,current_humidity,current_clouds,current_wind
Salalah,OM,286621,17.015051,54.092369,84.2,83,75,9.17
Biltine,TD,244878,14.53333,20.91667,77.49,78,20,6.17
Oranjestad,AW,3577154,12.52398,-70.02703100000001,80.6,78,40,20.8
Tarakan,ID,1624725,3.3,117.63333100000001,83.34,94,48,3.15
Caloundra,AU,2172710,-26.799999,153.133331,66.2,52,20,10.29
Talcahuano,CL,3870282,-36.716671000000005,-73.11666899999999,42.8,93,0,4.7
Srednekolymsk,RU,2121025,67.449997,153.683334,76.32,32,44,2.71
Talnakh,RU,1490256,69.48650400000001,88.39720200000001,57.6,96,56,0.92
San Cristobal,EC,3651949,-0.9045,-89.617439,72.36,100,68,10.98
Novaya Zaimka,RU,1496588,56.485721999999996,66.924118,62.37,58,76,11.99
Hualmay,PE,3939761,-11.09639,-77.613892,52.47,96,32,3.15
Sogne,NO,3137971,58.083328,7.816669999999999,55.4,50,0,11.41
Nalchiti,BD,1185156,22.633329,90.283333,90.45,79,64,11.32
Taoudenni,ML,2450173,22.678329,-3.9836099999999997,83.07,14,0,11.54
Tabuny,RU,1490356,52.777302,78.789597,82.89,45,44,10.98
Paka,MY,1734313,4.6374,103.436798,89.6,62,75,8.05
Surt,LY,2210554,31.208920000000003,16.588659,74.43,91,0,8.41
Jaisalmer,IN,1269507,26.914684,70.918076,101.7,35,0,13.89
Tarut,SA,101554,26.573320000000002,50.036941999999996,97.32,16,0,17.22
Tefe,BR,3661944,-3.35417,-64.711388,72.45,98,68,0.47
Cairns,AU,2172797,-16.91667,145.766663,77,57,75,14.99
Verkhnevilyuysk,RU,2013639,63.445278,120.316673,70.2,50,0,3.49
Hit,IQ,95788,33.64159,42.825089,88.02,31,0,17.81
Alofi,NU,4036284,-19.059521,-169.918671,78.8,78,0,4.7
Camacha,PT,2270385,33.083328,-16.33333,65.43,88,75,13.87
Mikuni,JP,1857260,36.21706,136.151855,78.8,36,75,10.29
Awbari,LY,2219235,26.592059999999996,12.780489999999999,86.22,20,36,8.97
Akureyri,IS,2633274,65.683533,-18.087799,53.6,66,0,6.93
Cockburn Town,TC,3576994,21.46122,-71.141876,83.25,95,68,9.75
Hede,CN,1808744,33.768059,120.251671,86.85,49,8,11.77
Yar-Sale,RU,1486321,66.83332800000001,70.83332800000001,53.37,71,44,16.69
Maba,CN,1801615,24.68412,113.59838899999998,83.34,80,68,4.27
Bandarbeyla,SO,64814,9.4942,50.812199,80.64,74,8,30.33
Kailua,US,5847486,21.40222,-157.739441,79.23,78,75,6.93
Hobyo,SO,57000,5.3505,48.526798,79.74,69,12,19.6
Vakhrushev,RU,2119964,48.98333,142.966675,57.06,97,80,3.38
Ancud,CL,3899695,-41.86972,-73.82028199999999,49.5,97,92,10.76
Cheyenne,US,5821086,41.13998,-104.820251,58.12,82,40,10.29
Beberibe,BR,3405924,-4.17972,-38.130562,77,83,20,5.82
Morrope,PE,3694586,-6.54167,-80.011108,64.4,88,90,9.17
Boguchany,RU,1509844,58.38139,97.453056,70.65,63,44,4.61
Hamilton,US,4513575,39.399502000000005,-84.56134,70.47,100,75,4.7
La Joya,MX,3525570,18.66667,-99.466667,59.94,63,68,2.26
Wajir,KE,178443,1.7471,40.057320000000004,78.3,71,8,9.75
Koslan,RU,544084,63.456421,48.898911,60.84,77,76,6.17
Sukumo,JP,1851462,32.933331,132.733337,76.41,77,80,7.18
Tadine,NC,2138285,-21.549999,167.883331,72,100,80,14.34
Kropotkin,RU,540761,45.4375,40.575558,88.92,30,8,12.77
At-Bashi,KG,1528796,41.17017,75.810577,59.85,56,0,2.93
Port Augusta,AU,2063056,-32.5,137.766663,62.6,29,0,8.05
Songjianghe,CN,2034691,42.185902,127.478951,74.34,56,24,8.08
Marawi,SD,370481,18.48333,31.816669,90.36,50,0,3.83
Kavadarci,MK,789541,41.43306,22.01194,69.8,73,0,3.04
Dalby,AU,2169535,-27.183331,151.266663,68,30,8,5.82
Zhigansk,RU,2012530,66.769722,123.371109,74.7,33,0,3.71
Kazachinskoye,RU,1504075,57.695278,93.276108,73.62,55,20,5.39
Natal,BR,3394023,-5.795,-35.209438,71.6,88,20,5.82
Susanville,US,5572400,40.416278999999996,-120.65300800000001,66.2,32,1,5.82
Ippy,CF,238566,6.267930000000001,21.22468,70.47,95,88,4.72
Torbeyevo,RU,482123,54.079719999999995,43.247318,75.42,62,0,5.61
Casper,US,5820705,42.866631,-106.31308,55.4,93,1,4.7
Dingle,IE,2964782,52.140831,-10.268889999999999,52.56,100,0,10.98
Bulawayo,ZW,894701,-20.15,28.58333,46.35,81,0,2.71
Maceio,BR,3395981,-9.66583,-35.735279,66.2,93,0,4.7
Agirish,RU,1512101,61.924721,63.02306,58.32,93,92,8.41
Amurzet,RU,2027740,47.696671,131.098053,67.14,80,24,3.38
Taloqan,AF,1123004,36.73605,69.534508,80.28,22,0,3.6
Bubaque,GW,2374583,11.28333,-15.833329999999998,75.2,94,20,3.36
Coari,BR,3664539,-4.085,-63.141392,72.9,97,44,3.27
Touros,BR,3386213,-5.1988900000000005,-35.460831,78.48,77,76,13
Saint-Pierre,RE,935214,-21.3393,55.478111,77.79,54,0,9.17
Watertown,US,5232741,44.899409999999996,-97.11506700000001,65.52,100,1,4.27
Sarangani,PH,1687186,5.40333,125.46360800000001,83.34,100,24,5.17
Mount Gambier,AU,2156643,-37.833328,140.766663,53.01,87,56,5.39
Tahoua,NE,2439376,14.8888,5.2692,73.4,83,0,9.17
Maniitsoq,GL,3421982,65.41667199999999,-52.900002,38.07,86,92,6.29
Honiara,SB,2108502,-9.43333,159.949997,87.8,70,40,6.93
Camana,PE,3945985,-16.62278,-72.711113,59.67,100,64,4.83
Ferrol,ES,3123493,43.483212,-8.236889999999999,63.39,88,20,1.12
Australind,AU,2077454,-33.26667,115.71666699999999,60.84,100,0,4.38
Colac,AU,2171069,-38.333328,143.583328,51.12,90,68,4.61
Calabozo,VE,3647444,8.92416,-67.429291,72,95,48,3.15
Herat,AF,1140026,34.348171,62.19966899999999,89.6,29,0,6.93
Souillac,MU,933995,-20.51667,57.51667,78.8,65,40,11.41
Cabadiangan,PH,1721627,10.151110000000001,122.93389099999999,80.55,94,76,2.82
Spencer,US,4951699,42.24398,-71.992302,57.18,55,1,8.05
Nyurba,RU,2018735,63.28416800000001,118.33193999999999,72.27,53,48,3.94
Lhokseumawe,ID,1214658,5.1801,97.15070300000001,86.04,97,8,5.17
Kintampo,GH,2299625,8.05627,-1.73058,69.57,100,100,3.38
Abha,SA,110690,18.216391,42.50528,82.4,13,5,13.87
Mayumba,GA,2399001,-3.4319800000000003,10.6554,72.27,99,76,8.86
College,US,5859699,64.856941,-147.80278,71.6,43,75,8.05
Podosinovets,RU,508068,60.27758000000001,47.065868,64.26,57,0,8.63
Tres Arroyos,AR,3833859,-38.373940000000005,-60.27978100000001,37.26,45,0,11.88
Havre-Saint-Pierre,CA,5972291,50.23344,-63.598620999999994,41,86,20,6.93
Hearst,CA,5973108,49.68351,-83.666542,56.34,63,12,5.39
Rawson,AR,3839307,-43.300159,-65.10228000000001,44.82,96,8,17.25
Wilmington,US,4145381,39.745948999999996,-75.546593,67.77,77,1,3.38
Bima,ID,1648759,-8.46667,118.71666699999999,86.22,65,8,4.72
Salaverry,PE,3692747,-8.23333,-78.966667,62.6,93,90,8.05
Gilgit,PK,1178338,35.9221,74.308701,38.25,88,76,0.02
Eyl,SO,60019,7.9803,49.816399,84.51,68,0,24.29
Udachnyy,RU,2014624,66.41667199999999,112.400002,71.37,52,32,6.73
Celestun,MX,3531368,20.866671,-90.400002,81.99,97,0,16.46
Tigil,RU,2120612,57.799999,158.666672,66.69,75,0,14.23
Shinjo,JP,2111065,38.75861,140.300827,76.05,34,20,10.29
Kortkeros,RU,544397,61.81055799999999,51.580559,66.2,68,40,8.95
Kavaratti,IN,1267390,10.566880000000001,72.64202900000001,81,100,44,17.81
Pokhara,NP,1282898,28.233334000000003,83.98333000000001,71.46,80,24,2.37
Tacoronte,ES,2510725,28.476878999999997,-16.41016,64,100,75,17.22
Carutapera,BR,3402648,-1.195,-46.02,75.87,94,8,5.61
Okha,RU,2122614,53.573891,142.947784,45.09,100,92,15.01
Saint-Denis,RE,935264,-20.882310999999998,55.450401,77.99,65,20,9.17
Zavitinsk,RU,2012626,50.116669,129.449997,68.49,77,76,3.6
Camacupa,AO,3351014,-12.01667,17.48333,45.18,60,0,5.61
Borovichi,RU,572154,58.387779,33.915459000000006,73.8,65,36,19.82
Port Macquarie,AU,2152659,-31.433331,152.916672,60.8,67,0,6.93
Ofaqim,IL,293992,31.3141,34.620251,79.29,45,0,3.83
Arawa,PG,2100633,-6.21319,155.536743,81.18,95,12,4.94
Bandiagara,ML,2460489,14.35005,-3.61038,87.8,58,0,6.93
Mizdah,LY,2214827,31.445140999999996,12.98013,68.76,66,0,6.4
Kozhva,RU,543246,65.10726899999999,57.045898,65.16,70,12,7.4
Severo-Yeniseyskiy,RU,1492566,60.372501,93.04083299999999,70.29,50,56,5.73
Bayburt,TR,750938,40.258888,40.227779,63.18,74,36,3.15
Hecelchakan,MX,3527149,20.16667,-90.13333100000001,82.4,78,40,11.41
Seredka,RU,496859,58.158379000000004,28.18576,59,67,75,11.18
Goure,NE,2444219,13.9835,10.27035,72.09,92,8,6.29
Warrington,US,4177465,30.384090000000004,-87.274971,78.1,83,75,12.75
Nabire,ID,1634614,-3.3666699999999996,135.483337,71.01,100,92,1.14
Dewsbury,GB,2651286,53.690762,-1.62907,51.44,62,0,8.05
Halifax,CA,6324729,44.645329,-63.572392,48.2,93,20,4.7
Alpena,US,4984075,45.061679999999996,-83.43274699999999,43.45,100,1,10.2
Sharjah,AE,292672,25.357309,55.403301,93.56,59,0,12.75
Daru,PG,2098329,-9.07628,143.209183,78.93,90,80,19.26
Billings,US,5640350,45.783291,-108.50068700000001,57.2,93,75,11.41
Emet,TR,315639,39.342999,29.258471000000004,64.17,86,68,3.38
Sedkyrkeshch,RU,497971,61.75,50.916672,66.2,68,40,8.95
